"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.476470588235294,1046,5373
"MS14",0.478787878787879,899,4320
"MS22",0.72,124,261
"MS7",0.588235294117647,277,826
"MS4",0.888888888888889,56,114
"MS27",0.743589743589744,638,2997
"MS9",0.151162790697674,742,5870
"MS10",0.48780487804878,181,959
"MS17",0.0352941176470588,669,5354
"MS12",0.310810810810811,3264,18569
"MS13",0.593457943925234,5347,28446
"MS26",0.776470588235294,204,565
"MS21",0.847058823529412,602,1958
"MS28",0.0235294117647059,37,245
"MS5",0.111764705882353,587,2844
"MS16",0.541176470588235,7790,18840
"MS11",0.7,112,378
"MS15",0.95,210,1136
"MS24",0,92,428
"MS8",0.666666666666667,105,277
"MS1",0.321311475409836,1116,7490
"MS19",0.145748987854251,400,3735
"MS29",0.862857142857143,795,2149
"MS18",0.724358974358974,1470,5845
"MS25",0.81547619047619,122,450
"MS6",0.964285714285714,284,729
"MS30",0.611764705882353,298,1617
"MS20",0.670588235294118,2285,7799
"MS3",0.151162790697674,1713,9798
