"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS14",0.254335260115607,0.22093023255814,1024,855,4721,3925
"MS7",0,0.0476190476190476,245,320,721,1108
"MS9",0.018348623853211,0,696,730,6016,5605
"MS12",0.0497237569060773,0.0849673202614379,2871,2421,18446,13431
"MS13",0.142857142857143,0.105990783410138,4773,4669,28997,23374
"MS16",0.370588235294118,0.479289940828402,7705,8236,20989,18417
"MS1",0.0359477124183007,0.0136054421768707,1014,1225,6575,7298
"MS19",0,0,441,488,3827,4068
"MS18",0.0566037735849057,0.0574712643678161,1353,1755,5618,6431
"MS25",0.0232558139534884,NA,146,NA,498,NA
"MS20",0.0235294117647059,0.0705882352941176,2130,2491,7465,8192
"MS3",0,NA,1762,NA,10570,NA
