"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS23",0.0457142857142857,0.0172413793103448,949,1159,5539,6111
"MS14",0.0411764705882353,0.0857142857142857,982,874,4721,3925
"MS22",0.26,0.173076923076923,98,125,263,352
"MS7",0.105882352941176,0.141176470588235,267,326,721,1108
"MS4",0.136363636363636,0.117647058823529,100,51,192,92
"MS27",0.0393258426966292,0.0223642172523962,716,941,2934,3554
"MS9",0,0.0263157894736842,696,715,6016,5605
"MS10",0.041958041958042,0.0985915492957746,140,179,922,897
"MS17",0,0.00574712643678161,645,719,5802,5410
"MS12",0.0258620689655172,0.0372340425531915,2769,2412,18446,13431
"MS13",0.0105263157894737,0.0731707317073171,4784,4689,28997,23374
"MS26",0.150684931506849,0.157534246575342,259,67,728,203
"MS21",0.111764705882353,0.129411764705882,740,727,2460,2398
"MS28",0,0,51,33,277,252
"MS5",0.0235294117647059,0.0588235294117647,505,719,2898,3223
"MS16",0.164705882352941,0.254437869822485,7715,8144,20989,18417
"MS11",0.0592105263157895,0.138157894736842,104,129,392,442
"MS15",0.12,0.121212121212121,235,216,1139,1129
"MS24",0.0341463414634146,0.0810810810810811,87,99,354,492
"MS8",0.0714285714285714,0.253521126760563,96,136,299,332
"MS1",0.0233333333333333,0.00328947368421053,1040,1201,6575,7298
"MS19",0.00943396226415094,0,438,543,3827,4068
"MS29",0.207547169811321,0.182857142857143,795,975,2268,2753
"MS18",0.218181818181818,0.269230769230769,1339,1849,5618,6431
"MS25",0.366863905325444,0.4,159,181,498,654
"MS6",0.105882352941176,0.152941176470588,215,332,662,850
"MS30",0.0588235294117647,0.129411764705882,302,337,1681,1610
"MS20",0.570588235294118,0.441176470588235,2171,2464,7465,8192
"MS3",0.0173410404624277,0.0229885057471264,1585,1877,10570,9412
