"ReportingCountry","PR_a_2020","PR_a_2021","PR_a_2019","NS_2020","NS_2021","NS_2019","Tested_2020","Tested_2021","Tested_2019"
"MS23",0.705555555555556,0.688888888888889,0.654054054054054,183,185,726,894,1052,1884
"MS14",0.104868913857678,0.0813397129186603,0.130742049469965,128,80,261,706,747,986
"MS4",0.25,0.4375,0.942857142857143,23,16,11,105,75,96
"MS9",0,0,0,4,18,20,252,343,197
"MS10",NA,0,NA,NA,34,NA,NA,130,NA
"MS12",0.010752688172043,0.00561797752808989,0.0172413793103448,74,112,140,713,833,842
"MS13",0.1875,0.0851063829787234,0.0930232558139535,2,454,572,33,2986,4682
"MS26",0.5,0.333333333333333,0.791666666666667,2,23,11,166,249,50
"MS21",0.459459459459459,0.373809523809524,NA,66,94,NA,382,531,NA
"MS28",0,0,NA,2,4,NA,21,48,NA
"MS5",0.0161290322580645,NA,0,23,NA,17,182,NA,185
"MS16",0.392426850258176,0.364210526315789,0.258855585831063,89,78,107,872,693,569
"MS11",0,0,NA,0,0,NA,18,8,NA
"MS15",NA,0.117647058823529,NA,NA,38,NA,NA,201,NA
"MS24",NA,0,NA,NA,16,NA,NA,116,NA
"MS8",0.112903225806452,0.162162162162162,0.28,4,20,12,32,205,113
"MS1",0.0434782608695652,0,NA,70,62,NA,494,612,NA
"MS29",NA,0.561151079136691,0.333333333333333,NA,66,123,NA,75,529
"MS18",0,0.2,0.036144578313253,14,44,26,238,278,463
"MS25",0.664705882352941,0.430656934306569,0.711764705882353,18,4,30,36,25,148
"MS6",0.714285714285714,0.382978723404255,0.901639344262295,54,153,68,403,606,317
"MS30",0.725609756097561,0.565934065934066,0.891472868217054,33,38,38,183,175,358
"MS20",0.33596837944664,0.33921568627451,0.310276679841897,106,246,196,768,1002,1404
