"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.723529411764706,187,894
"MS14",0.341463414634146,138,706
"MS4",0.5,15,105
"MS9",0,11,252
"MS17",0,6,100
"MS12",0.0239520958083832,81,713
"MS13",0.470588235294118,1,33
"MS26",0.65,11,166
"MS21",0.923529411764706,85,382
"MS28",0,3,21
"MS5",0.166666666666667,27,182
"MS16",0.691588785046729,95,872
"MS11",0,0,18
"MS8",0.326923076923077,2,32
"MS19",0,38,232
"MS18",0,19,238
"MS25",0.523529411764706,19,36
"MS6",0.657142857142857,57,403
"MS30",0.792682926829268,25,183
"MS20",0.364705882352941,93,768
