"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS23",0.285714285714286,NA,181,NA,1052,NA
"MS14",0.0444444444444444,0.0194174757281553,82,243,747,986
"MS4",0.666666666666667,NA,10,NA,75,NA
"MS9",0,0,33,19,343,197
"MS10",0,NA,37,NA,130,NA
"MS12",0,0.00490196078431373,124,136,833,842
"MS13",0.0666666666666667,0,430,579,2986,4682
"MS26",0,NA,26,NA,249,NA
"MS21",0.05,NA,78,NA,531,NA
"MS28",0,0,3,2,48,27
"MS5",NA,0,NA,27,NA,185
"MS16",0.021978021978022,0.0964467005076142,78,107,693,569
"MS11",0,NA,0,NA,8,NA
"MS15",0.235294117647059,NA,41,NA,201,NA
"MS24",0,NA,12,NA,116,NA
"MS8",0.0677966101694915,0,23,11,205,113
"MS1",0,0.130434782608696,53,128,612,727
"MS29",0.1875,0.1,68,117,75,529
"MS18",0.157894736842105,0,53,27,278,463
"MS25",0.259615384615385,NA,6,NA,25,NA
"MS6",0.166666666666667,NA,159,NA,606,NA
"MS30",0.222222222222222,NA,41,NA,175,NA
"MS20",0.276470588235294,0.349397590361446,213,177,1002,1404
