"ReportingCountry","PR_a_2021","NS_2021","Tested_2021"
"MS23",0.87434554973822,23,49
"MS4",0.875,7,7
"MS9",0.256198347107438,5,14
"MS10",0.857142857142857,23,27
"MS17",0,6,19
"MS12",0.852216748768473,778,995
"MS13",0.717054263565892,177,234
"MS21",0.694117647058824,70,137
"MS5",0.605882352941176,1,18
"MS16",0.913705583756345,20,34
"MS15",0.752941176470588,2,5
"MS24",0.896551724137931,12,21
"MS8",0.705882352941177,1,1
"MS1",0.780487804878049,55,83
"MS19",0,2,3
"MS29",0.727777777777778,0,1
"MS18",1,47,47
"MS6",0.903225806451613,47,105
"MS30",0.529411764705882,24,57
"MS20",0.882352941176471,103,112
"MS3",0,5,6
