"ReportingCountry","PR_a_2020","NS_2020","Tested_2020"
"MS23",0.474576271186441,188,397
"MS4",0.554054054054054,9,17
"MS9",0.368098159509202,76,220
"MS10",0,115,249
"MS17",0.0229885057471264,255,816
"MS12",0.625730994152047,3010,6524
"MS5",0.321212121212121,1,1
"MS16",0.707865168539326,42,77
"MS24",0.5,100,200
"MS8",0,0,1
"MS1",0.562874251497006,553,1126
"MS19",0.0240963855421687,11,272
"MS29",0.754189944134078,2,5
"MS18",0.909090909090909,170,227
"MS6",0.552941176470588,288,851
"MS30",0.352941176470588,295,759
"MS20",0.694117647058824,11,21
"MS3",0.087431693989071,31,323
