"ReportingCountry","PR_a_2020","PR_a_2021","PR_a_2019","NS_2020","NS_2021","NS_2019","Tested_2020","Tested_2021","Tested_2019"
"MS23",0.627777777777778,0.611111111111111,0.681081081081081,132,135,256,894,1052,1884
"MS14",0.389513108614232,0.315789473684211,0.512367491166078,275,268,381,706,747,986
"MS9",0.424,0.369565217391304,0.435897435897436,52,94,77,252,343,197
"MS10",NA,0.636363636363636,NA,NA,60,NA,NA,130,NA
"MS12",0.425806451612903,0.339887640449438,0.438697318007663,219,196,210,713,833,842
"MS13",NA,0.531914893617021,0.325581395348837,NA,812,1001,NA,2985,4669
"MS26",0.1,0.233333333333333,0.166666666666667,13,14,4,166,249,50
"MS21",0.564864864864865,0.478571428571429,NA,289,217,NA,426,534,NA
"MS5",0.629032258064516,NA,0.45,28,NA,56,183,NA,185
"MS16",0.545611015490534,0.484210526315789,0.580381471389646,409,400,261,872,693,569
"MS24",NA,0.0810810810810811,NA,NA,32,NA,NA,116,NA
"MS1",0.173913043478261,0.158730158730159,NA,155,161,NA,494,612,NA
"MS29",NA,0.474820143884892,0.496296296296296,NA,3,10,NA,75,47
"MS18",0.606060606060606,0.485714285714286,0.409638554216867,94,85,136,238,278,463
"MS25",0.388235294117647,0.368613138686131,0.423529411764706,6,9,29,36,25,148
"MS6",0.371428571428571,0.531914893617021,0.491803278688525,73,71,61,278,313,472
"MS30",0.701219512195122,0.653846153846154,0.868217054263566,32,26,135,184,176,358
"MS20",0.594861660079051,0.650980392156863,0.628458498023715,208,249,510,768,1002,1403
