"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS23",0.857142857142857,NA,127,NA,1052,NA
"MS14",0.377777777777778,0.398058252427184,261,404,747,986
"MS9",0.358695652173913,0.464,66,84,343,197
"MS10",0.545454545454545,NA,57,NA,130,NA
"MS12",0.473684210526316,0.563725490196078,214,221,833,842
"MS13",0.633333333333333,0.2,747,1055,2985,4669
"MS26",0.2,NA,13,NA,249,NA
"MS21",0.3,NA,239,NA,534,NA
"MS5",NA,0.612903225806452,NA,48,NA,185
"MS16",0.362637362637363,0.527918781725888,370,280,693,569
"MS24",0.108108108108108,NA,21,NA,116,NA
"MS1",0.206349206349206,0.434782608695652,171,169,612,727
"MS29",0.5625,0.15,3,7,75,47
"MS18",0.842105263157895,0.823529411764706,79,136,278,463
"MS25",0.384615384615385,NA,5,NA,25,NA
"MS6",0.416666666666667,NA,68,NA,313,NA
"MS30",0.611111111111111,NA,28,NA,176,NA
"MS20",0.788235294117647,0.662650602409639,248,491,1002,1403
