"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",4.14675149379005,6.46597231124413,5.35161535714609,2849,2181,2159,6042,4798,4805
"MS14",27.527039709379,32.5257377931913,37.9961452954673,2026,2219,2412,3601,4009,4389
"MS22",17.7747259943506,16.4308433011178,22.768343465459,205,187,187,352,261,263
"MS7",20.5502185306806,20.2673213507707,21.0194481216304,621,473,419,1108,827,728
"MS4",57.5724744539202,53.4941822234921,41.8139330899262,68,80,133,92,114,191
"MS27",10.448355580347,13.5232134793088,17.5929130296713,1934,1553,1475,3556,2997,2934
"MS9",4.33104766270673,6.05922566139184,3.63099114587203,2621,2590,2504,5593,5864,6001
"MS10",9.67267901065355,8.69314684357463,5.81272515439637,208,203,151,499,422,338
"MS17",0.643170876277663,0.758559211720452,0.549922061743005,1145,1053,1022,3000,2928,3177
"MS12",6.31415610951789,4.06294707303354,4.48520340751117,7382,9518,9245,13415,17674,17706
"MS13",32.3325140507364,37.0102279414536,15.3671149690147,16545,17150,13871,23324,28227,28500
"MS26",11.8180688173638,16.7422359840467,13.5561162864149,90,243,346,154,452,557
"MS21",97.9368434807663,54.0273161633179,48.7262440758888,1397,1084,1305,2363,1804,2263
"MS28",0.333625290620428,0.299677523977399,0.337638770488113,132,118,134,257,245,277
"MS5",6.4850009643698,8.04427021868548,6.92857923644049,2129,1837,1850,3201,2841,2898
"MS16",62.4681108823327,109.210824114013,56.3890909212044,3023,2743,3232,4457,4214,5518
"MS11",6.49577152031153,5.26609119751968,5.57624902020323,251,196,184,438,374,344
"MS15",4.56033650735381,5.23438457186789,9.01903028852816,686,662,654,1129,1138,1147
"MS24",3.44684954893599,3.67486841745546,2.83752611130329,297,230,202,492,427,352
"MS8",6.29071014190014,5.87970789590056,7.33115767100307,218,159,192,332,277,299
"MS1",8.52417888024205,7.16775695901174,8.19667425450763,3378,3284,2788,7301,7494,6571
"MS19",0.0561152391225736,0.0659715710703224,0.0632025827178185,1646,1513,1435,4072,3758,3837
"MS29",39.875175165048,87.4866039184508,67.6112810752502,554,295,502,836,502,809
"MS18",24.7839109278093,30.1067699441647,35.8491166246871,3454,3166,2751,5933,5849,5164
"MS25",9.94456072721497,11.3915678420802,7.2016877879933,331,190,224,538,316,352
"MS6",5.15229336128073,13.7946147818485,9.98862915602808,495,393,358,849,728,660
"MS30",33.4226417884442,15.7630652586921,11.5673762539102,832,821,818,1610,1617,1681
"MS20",38.5697408316642,50.1453781025274,64.5111560244406,4873,4207,3970,7831,7214,6969
