"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",7.91363907142004,8.08039051075419,8.45798406579013,230,134,117,1884,894,1052
"MS14",38.4813373344564,39.5878250137888,24.861034976187,450,298,343,986,706,747
"MS22",NA,NA,20.2736447269776,NA,NA,0,NA,NA,1
"MS4",60.460160757914,57.9677470441801,52.3682291376144,29,26,15,96,106,75
"MS9",3.02172636705034,4.35144342084701,3.76387124807428,80,56,65,197,252,343
"MS10",9.26811174613078,10.2008929781856,4.55084086679141,39,27,47,153,95,130
"MS17",0.63771771791227,0.446631937601287,0.500142481664743,29,21,33,107,100,167
"MS12",8.49011125249934,7.29240270339031,3.67537822136226,188,134,186,842,713,833
"MS13",22.6614447424054,30.0637123176932,34.194308034612,1258,0,812,4681,23,2985
"MS26",10.59485024822,13.7356485872828,12.3889251081035,2,14,12,50,166,249
"MS21",NA,45.5682048677309,56.2710258428553,NA,353,241,NA,627,534
"MS28",0.377302607933434,0.505576635898494,0.24083084852994,12,13,5,26,20,48
"MS5",8.3222138805651,10.4915564600445,NA,36,32,NA,185,183,NA
"MS16",52.7562098394528,53.2693133203165,68.5814029305335,250,402,304,569,872,692
"MS11",3.67268851512077,6.07480805487277,3.46283594506918,18,3,5,81,18,8
"MS15",7.69556802846305,NA,4.53921647214857,111,NA,39,712,NA,212
"MS24",2.5478756981842,4.64094380666816,2.68198658209275,38,27,30,131,90,116
"MS8",4.15875048612975,7.12242282147024,6.86041805898889,41,42,60,113,164,205
"MS1",11.7696690441641,8.03488423156563,6.73752741698964,207,158,184,727,494,612
"MS19",0.0727623855099141,0.0744876992243292,0.04147889509617,41,18,29,216,232,200
"MS29",68.3884784617761,NA,56.1240387186218,243,NA,3,1011,NA,75
"MS18",28.9076907603291,41.9875763410021,46.1470663938755,127,87,84,463,238,278
"MS25",12.714356059258,8.69950771430919,7.28106411115463,39,6,5,148,36,25
"MS6",4.70728030541986,8.37077249268538,15.1054584403254,76,47,48,652,472,696
"MS30",31.4147171482244,16.2891952266635,17.2734047294254,123,38,25,357,185,176
"MS20",67.4827730954783,72.4635150517413,37.8733509101311,584,222,229,1409,768,1002
"MS3",0.369217776974043,0.487237520772107,0.228581265346694,165,60,97,613,347,619
