"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.303510486388019,0.205985974991717,0.191835298404146,620,537,498,6106,5376,5537
"MS14",0.0796559408815717,0.0927645927845949,0.0847350487390087,450,464,425,3937,4320,4721
"MS22",0.0736919742454298,0.0847578646931788,0.189058279313104,137,104,97,352,261,263
"MS7",0.412065762569064,0.145631284070387,0.194944769319478,199,134,160,1085,827,726
"MS4",0.43155987552171,0.443491777652591,0.324659436742031,25,29,76,92,114,192
"MS27",0.462578254244483,0.535741533311238,0.266207509085392,597,430,497,3557,2997,2934
"MS9",0.00481833590201558,0.00128244497834657,0.000341968704921337,425,389,376,5091,5286,5416
"MS10",0.926506253807841,0.755436378498791,0.444393994930933,130,84,95,910,979,929
"MS17",0.000358711646343959,0.000421072167650889,0.000296173775271825,491,415,405,5413,5367,5799
"MS12",0.0133835347488432,0.0142316060847039,0.0215655016617766,1266,1929,1621,13019,18857,18735
"MS13",0.107877921664666,0.263721462750306,0.104152657247689,2855,3167,2819,23413,28461,29021
"MS26",0.103813749867531,0.125012574771287,0.230607828704971,39,124,180,190,567,727
"MS21",0.614375832016109,0.550205747541836,0.491508883039242,482,392,510,2413,1962,2470
"MS28",0.00118092457805319,0.00142431415114819,0.00145584399748756,16,27,40,257,245,278
"MS5",0.150601528381306,0.181371001707208,0.11868145984989,438,365,323,3231,2850,2903
"MS16",0.2031107556486,0.185525436247848,0.189698036319106,5827,5207,5291,18409,18750,21153
"MS11",0.403954423730536,0.361187383120354,0.384941419410382,80,92,74,442,378,393
"MS15",0.241742034844475,0.0897853442406467,0.154882294199473,189,191,154,1132,1142,1153
"MS24",0.543152218866394,0.594767414264559,0.468600456096799,67,49,41,492,428,354
"MS8",0.266354564611197,0.336809642692257,0.274406292118273,62,45,43,332,277,299
"MS1",0.00102109041509243,9.93977191574045e-05,0.001180910643642,584,524,443,7300,7494,6575
"MS19",0.000281531935360309,0.000131557827846638,0.000201155494498453,261,245,219,4075,3762,3839
"MS29",0.601956464168272,0.513926450298661,0.650376250152767,497,375,409,2803,2172,2371
"MS18",0.507920209489597,0.235971803333998,0.359531158855344,1187,952,773,6390,5793,5615
"MS25",0.148202161197484,0.268394119370515,0.134028734723945,144,98,78,664,452,495
"MS6",0.435611346918333,0.482845465959473,0.525446117501031,226,188,170,846,727,649
"MS30",0.272876645933328,0.1472484408608,0.158985313485499,173,199,164,1610,1617,1681
"MS20",0.2826647308162,0.335993275392377,0.201141654013555,1160,1147,988,8345,7744,7319
"MS3",0.000798184447491003,0.00285036897365318,0.00208908555512255,782,797,774,9419,9852,10633
