"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.24501162371474,0.272738763387084,0.214849687022257,13,2,6,1884,894,1052
"MS14",0.0704940866225352,0.0979276554578787,0.0529311383757283,17,3,3,986,706,747
"MS4",0.520633326935514,0.439317910926121,0.610271348407616,0,1,0,96,106,75
"MS9",0.00323251505456434,0.000887035620520691,0.000512663337863851,1,0,0,197,252,343
"MS10",0.623886724446607,0.748982389789288,0.380949967458013,0,0,0,153,95,130
"MS17",0.000451130557205673,0.000397158931204492,0.000279245924396061,0,0,5,107,100,167
"MS12",0.0131755781486718,0.0140032037935466,0.0215850077601511,23,10,5,842,713,833
"MS13",0.238914789145606,0.138426630438937,0.126766597672895,172,0,26,4682,33,2981
"MS26",0.0676845942376061,0.216789152891988,0.231115136942987,0,1,1,50,150,249
"MS21",NA,0.653787026100825,0.517195919298647,NA,2,16,NA,532,534
"MS28",0.00142055118938145,0.00168480872377769,NA,0,0,NA,6,2,NA
"MS5",0.101174775421958,0.164386811191377,NA,0,2,NA,185,183,NA
"MS16",0.251536348576029,0.135844128022933,0.115686997964515,7,15,26,569,872,693
"MS11",0.34764657770298,NA,NA,0,NA,NA,53,NA,NA
"MS15",0.149785889630002,NA,0.160445352665376,0,NA,0,601,NA,142
"MS24",0.522140492202701,0.418163877252355,0.452935541302027,0,0,0,131,90,116
"MS8",0.27482852516384,0.261028270546024,0.252133597718477,4,3,0,113,164,205
"MS1",0.00107670121993896,0.000266249124222489,0.00119056254542859,10,7,8,727,494,612
"MS19",0.000201193693811316,0.000186836531669332,0.000298324471305376,5,0,0,216,232,200
"MS29",0.347835128229705,NA,0.348138868940862,12,NA,1,722,NA,75
"MS18",0.320410690847434,0.367519188993444,0.37952529960288,7,0,0,463,238,278
"MS25",0.0885819040535668,0.106462622300216,0.184639630202935,0,0,0,148,36,25
"MS6",0.402613814555677,0.424930950021638,0.686304320322228,4,2,7,108,391,562
"MS30",0.288908420866332,0.243309641471558,0.246268820523786,0,3,4,358,185,176
"MS20",0.237847877486296,0.304469525459598,0.289010297847429,11,2,4,1399,768,1002
"MS3",0.000691876680390963,0.00286762166273791,0.00240424090640728,0,0,1,613,347,619
