"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",3.25794795468166,3.93453965404084,2.46577342197139,3,0,0,51,40,49
"MS22",14.312794165162,NA,NA,0,NA,NA,4,NA,NA
"MS4",20.7582054178466,15.1640080958453,10.1983358333746,0,0,0,9,6,7
"MS9",NA,NA,6.10394033534544,NA,NA,3,NA,NA,14
"MS10",1.66993438527994,1.95802506958097,1.24615664407988,6,2,8,45,28,27
"MS17",0.236375778211836,0.36626873470798,0.338922352822857,75,43,11,353,100,33
"MS12",3.73127276785072,5.23155020159579,3.49428742831048,72,77,90,1061,998,997
"MS13",NA,NA,7.2387088207614,NA,NA,11,NA,NA,233
"MS21",NA,NA,5.34178796717934,NA,NA,1,NA,NA,137
"MS28",0,0,0,0,0,0,2,5,1
"MS5",NA,NA,2.42319927642034,NA,NA,0,NA,NA,18
"MS16",6.96372958623192,11.40013791459,6.74056948741817,4,3,9,16,15,34
"MS15",0.556434498264304,NA,1.73297485962507,1,NA,2,61,NA,11
"MS24",2.11138854993286,0.538228672121105,0.808336953312576,3,2,0,34,26,21
"MS8",10.6561732438152,14.244725920747,12.5769003108538,1,1,1,40,34,44
"MS1",6.85990962708937,8.01071138795174,7.14829712510113,40,19,5,139,113,91
"MS19",0.00167858552741249,0.00114927181073689,0.00151423212086597,0,0,0,7,1,3
"MS29",19.6344576425319,31.1989587885807,19.6941516780905,0,0,0,18,8,4
"MS18",10.1687427775394,19.3516140005135,16.9081040983536,39,12,26,52,38,47
"MS25",5.53171648820168,NA,NA,0,NA,NA,9,NA,NA
"MS6",1.73995772811593,1.40928008035971,0.484763378694059,1,1,2,74,106,123
"MS30",0.225185252143805,0.260602252754847,0.35370192028121,2,0,0,77,45,57
"MS20",9.92511126864949,14.0307414878669,9.83051813604374,7,0,17,47,3,112
"MS3",NA,0.462152172005553,0.410132793204888,NA,0,3,NA,7,6
