"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",2.64081766869693,3.59028457940665,2.17029527292012,1,0,0,410,397,419
"MS22",13.2535857104401,NA,9.75758692276676,2,NA,0,25,NA,19
"MS4",13.5761188804556,14.3413724723755,10.3462375450651,0,0,0,29,17,25
"MS9",7.76927042478018,5.62586146271537,4.75847699898824,0,0,0,158,220,285
"MS10",2.06404487046291,2.16770683784725,0.691394780262339,3,1,0,270,249,184
"MS17",0.478894795379604,0.667496532359023,0.315402106954635,56,15,8,3025,1353,997
"MS12",3.47337337364617,3.95104495756025,3.82943182618605,32,25,21,6522,6530,6797
"MS13",NA,NA,4.98988888751634,NA,NA,30,NA,NA,1302
"MS21",NA,NA,6.55951230563181,NA,NA,2,NA,NA,414
"MS28",0,0,0,0,0,0,82,71,36
"MS5",NA,2.42332400250867,3.33675481263003,NA,0,0,NA,1,184
"MS16",15.769668260603,7.29058272224163,10.8335240264188,1,2,0,86,77,105
"MS15",0.469796435570196,NA,1.74934030587563,6,NA,5,756,NA,206
"MS24",1.79342050814217,0.591031250752606,0.946313504119313,2,0,2,237,200,187
"MS8",13.4646563724634,12.6866044306337,14.213008504499,0,0,0,197,138,200
"MS1",8.67754322121392,8.19897759110201,6.9771950258908,30,33,20,1416,1250,1297
"MS19",0.0029411887905838,0.00179812465838302,0.00135159845112387,3,1,2,221,272,266
"MS29",18.9308000811442,29.8292186177934,24.727998805674,1,3,0,82,28,72
"MS18",11.2088284596114,22.794272554899,20.2208074486641,16,5,17,302,227,278
"MS25",6.39568827712842,NA,8.0844761435061,0,NA,0,8,NA,2
"MS6",2.35612159984684,1.35017459843343,1.07776461538047,17,6,2,453,858,1104
"MS30",0.247922925747921,0.294199935876713,0.177229522799725,5,2,4,958,759,797
"MS20",12.3305582484836,6.90798157751983,11.3680257837825,3,0,70,216,21,458
"MS3",NA,0.546095606119115,0.490040949909545,NA,0,0,NA,323,244
