"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.345644263668028,0.428698725283091,0.483786182745734,47,20,39,51,40,49
"MS22",4.61290071361006,NA,NA,3,NA,NA,4,NA,NA
"MS4",2.58374423911675,2.46838482996276,1.99625395780573,8,6,7,9,6,7
"MS9",NA,NA,0.12934274244385,NA,NA,7,NA,NA,14
"MS10",1.83617843506911,1.67917944303363,0.967886709704325,44,24,27,45,28,27
"MS17",0.0877682510796476,0.100875745479788,0.10568781575965,306,81,29,348,97,35
"MS12",0.507210858063103,0.407989193131611,0.324289665283612,644,625,614,1061,998,998
"MS13",NA,NA,0.615436523028336,NA,NA,171,NA,NA,234
"MS21",NA,NA,12.3641919772235,NA,NA,118,NA,NA,137
"MS28",0.00412895073797909,0.00382260382755947,0.00432426963624081,1,4,0,2,5,1
"MS5",NA,NA,0.404175737491003,NA,NA,2,NA,NA,18
"MS16",3.14945986937511,2.12137389519479,1.71217225890122,10,15,29,16,15,34
"MS15",1.45055108858157,NA,0.75415773924224,58,NA,9,61,NA,11
"MS24",0.893722920465937,0.704215102511044,1.21941856618655,20,23,13,34,26,21
"MS8",8.18876535936513,4.22994060466758,6.34862955816034,30,28,34,40,34,44
"MS1",0.560483234540583,0.67894013157367,0.64596335280157,124,68,69,139,115,92
"MS19",0.049751729907836,0.0734489891950585,0.0301202935965669,7,1,2,7,1,3
"MS29",15.1634359782992,13.3446796842147,9.62639740484078,4,1,1,4,1,1
"MS18",4.59581415707794,7.83898893610196,12.0430873101629,50,31,47,52,38,47
"MS25",6.23786756649234,NA,NA,5,NA,NA,9,NA,NA
"MS6",2.39968223692102,3.81458137295314,4.75776560413361,140,79,89,156,113,125
"MS30",2.12770439648916,0.610037091019104,0.873636594396097,61,41,48,77,45,57
"MS20",4.94089233626174,5.32344873873196,3.8765139105584,45,3,103,47,3,109
"MS3",NA,0.0947397310941364,0.0891727716613979,NA,4,4,NA,7,6
