"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.579140534955559,0.724126676302954,0.520907640918674,304,302,351,410,397,419
"MS22",3.50500969651335,NA,3.31867141637889,10,NA,19,25,NA,20
"MS4",1.87018696423571,2.7582025277773,2.62521023428502,27,17,22,29,17,25
"MS9",0.231329228011697,0.226217222577308,0.138972451291869,100,101,129,158,220,285
"MS10",1.30088394721651,1.36290396702237,0.758257717664036,250,184,159,270,249,184
"MS17",0.113215724195936,0.117677604161933,0.115484536322834,2014,556,399,3014,1339,991
"MS12",0.368460478843325,0.50036061557644,0.39123350255689,3833,3931,4150,6518,6530,6807
"MS13",NA,NA,0.773656314823463,NA,NA,861,NA,NA,1312
"MS21",NA,NA,15.4017693654556,NA,NA,378,NA,NA,415
"MS28",0.00243408831853626,0.00371147104659984,0.00481495345626578,35,5,2,82,71,36
"MS5",NA,0.263535043282567,0.471051078713951,NA,1,56,NA,1,174
"MS16",2.06037429165061,2.85856204346689,1.54062968024344,69,65,77,86,77,105
"MS15",1.66027721196434,NA,1.1511545418523,707,NA,188,751,NA,206
"MS24",0.78177741157158,0.68377625749455,0.5591433070756,128,142,136,237,200,187
"MS8",9.68408841677621,5.40662923854787,6.99680799507196,130,112,164,198,138,200
"MS1",0.862229466355908,1.12901449044751,0.818239812511934,985,758,715,1410,1270,1311
"MS19",0.030520878819018,0.0808686755974999,0.0322312002964372,69,36,45,221,272,266
"MS29",15.6627728836189,13.0464303956204,19.2895126296547,17,4,30,28,5,30
"MS18",6.88054327501077,10.1457123890108,8.22570903940687,285,203,257,302,227,278
"MS25",6.72226170796918,NA,7.21262498461579,3,NA,0,8,NA,2
"MS6",2.98460640784361,2.73040060987455,3.40374974460479,994,621,817,1161,893,1115
"MS30",2.57013790301083,1.23300930755756,0.860036118952028,732,619,659,958,759,797
"MS20",3.77177791336375,2.70713826704081,3.2024643297841,201,21,388,216,21,450
"MS3",NA,0.0700362070915897,0.122957093288339,NA,69,100,NA,323,244
