"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.958343135551074,0.442004049426834,0.358848165977045,1200,981,914,6111,5373,5539
"MS14",0.575411025283867,0.445632483524323,0.517587218900987,885,926,1045,3925,4320,4721
"MS22",4.41735141516799,3.86490149839062,3.27846006219798,137,128,102,352,261,263
"MS7",1.79099977384616,2.2264318542963,1.91125626250658,317,281,245,1108,826,721
"MS4",2.77578906120704,2.1947081181175,2.29959575187497,39,55,106,92,114,192
"MS27",1.51702067524622,1.67091514045818,1.37660382412301,911,637,692,3554,2997,2934
"MS9",0.167586719197056,0.170046107325396,0.195983795264487,650,760,680,5605,5870,6016
"MS10",0.913662998335222,0.721978330822256,0.871295569786201,183,157,147,897,959,922
"MS17",0.0923927103173603,0.117299571107514,0.127813838201299,743,656,647,5410,5354,5802
"MS12",0.49107954799519,0.281904541430597,0.402450498120269,2425,3178,2865,13431,18569,18446
"MS13",0.658644919974404,1.08042563629051,0.915289358550241,4724,5275,4763,23374,28446,28997
"MS26",4.92269771772549,3.17788793371811,2.61018901734301,61,191,249,203,565,728
"MS21",11.7650748370801,12.3450772767951,13.1757120031698,714,591,687,2398,1958,2460
"MS28",0.0018238938435892,0.0036282530610166,0.00462661677486222,30,44,48,252,245,277
"MS5",0.305316317483409,0.325333186235271,0.437174091796639,725,588,498,3223,2844,2898
"MS16",1.85471766487243,2.31007689106352,1.827276993943,8119,7748,7676,18417,18840,20989
"MS11",0.667306180690958,0.490229254594287,0.915230105842072,128,102,91,442,378,392
"MS15",1.76881257927139,1.45790606109382,0.93224965294787,216,238,214,1129,1136,1139
"MS24",0.882385765577186,0.797840983984429,0.688822718792477,121,108,89,492,428,354
"MS8",10.7258366627882,4.71071354390079,11.362943867286,125,84,88,332,277,299
"MS1",0.922792958617508,0.576568441898253,0.658128031677025,1230,1171,1006,7298,7490,6575
"MS19",0.0389088441197551,0.0558374065485038,0.0247588997847451,505,420,413,4068,3735,3827
"MS29",8.36820768615645,9.91547584703848,10.038467888445,955,798,826,2753,2149,2268
"MS18",6.06717618867951,6.0973389188122,8.09467732888053,1814,1486,1388,6431,5845,5618
"MS25",4.67120988627559,6.10458799500803,11.1431371700648,195,122,152,654,450,498
"MS6",4.94076730480996,4.14034898241451,3.86100183157874,309,308,221,850,729,662
"MS30",2.65230457881143,1.1488929018283,0.858420166212465,323,307,314,1610,1617,1681
"MS20",5.25086363043308,3.83339772010474,4.1209338913318,2448,2213,2124,8192,7799,7465
"MS3",0.0485981087676249,0.106028224339003,0.110100494975462,1865,1677,1653,9412,9798,10570
