"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",16.0413029929685,15.5832101832216,18.3330483603537,33,19,25,51,40,49
"MS22",43.3885856744695,NA,NA,2,NA,NA,4,NA,NA
"MS4",101.541414437027,167.757377455113,142.348339362922,6,5,7,9,6,7
"MS9",NA,NA,5.03887220027138,NA,NA,8,NA,NA,14
"MS10",15.838461435765,14.0782090989263,15.8896924406319,33,21,21,45,28,27
"MS17",6.00619809673561,3.5265854447531,3.33828385780926,123,54,8,178,79,19
"MS12",21.6950832033904,14.5837175032358,20.0943016117369,781,776,778,1060,999,995
"MS13",NA,NA,11.3903602894889,NA,NA,166,NA,NA,234
"MS21",NA,NA,56.7521386051779,NA,NA,78,NA,NA,137
"MS5",NA,NA,15.4187801625809,NA,NA,4,NA,NA,18
"MS16",46.4110087299229,49.1879273258814,51.7426406714064,14,13,21,16,15,34
"MS15",1.25149508946692,NA,2.64549583636466,41,NA,1,61,NA,5
"MS24",10.5606835162782,13.7262803044166,4.8878354036093,24,16,9,34,26,21
"MS8",39.3876774248548,49.8165190493843,28.1135448175852,0,3,1,2,3,1
"MS1",13.6896221885924,15.3109767689712,14.8670348607667,98,84,47,124,108,83
"MS19",0.0317105943658975,0.0425429213804262,0.0603191135346172,4,1,3,7,1,3
"MS29",55.8826182740028,NA,24.8105509182476,4,NA,0,4,NA,1
"MS18",50.2186822320463,51.5121011600901,37.2292812449441,52,35,47,52,38,47
"MS25",13.6182581225265,NA,NA,9,NA,NA,9,NA,NA
"MS6",6.93855259447582,12.214307729566,8.7373432419934,97,49,53,135,105,105
"MS30",5.65574546785725,7.20693730074108,3.81566623333994,30,30,28,77,45,57
"MS20",24.0804687808344,41.749205437307,59.1398381546424,42,3,98,47,3,112
"MS3",NA,0.610488890034695,1.14967340491458,NA,2,6,NA,7,6
