"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",19.7298565296213,30.8509603112378,22.1880801970497,179,174,236,410,397,419
"MS22",27.1061721832728,NA,51.0524117892575,7,NA,8,25,NA,20
"MS4",84.7020181349998,75.1451947172026,124.465259494373,14,7,21,29,17,25
"MS9",7.3195680702154,4.89788829509094,5.81430309894624,76,69,87,158,220,285
"MS10",11.2240258172155,13.9038036875443,11.4837699602183,134,125,94,270,249,184
"MS17",6.35172099777093,2.4959801926068,5.02011712239081,667,250,42,1529,816,412
"MS12",17.7267336478174,14.006973084104,19.5859949953559,3020,3019,3170,6510,6524,6792
"MS13",NA,NA,20.0318158871046,NA,NA,593,NA,NA,1312
"MS21",NA,NA,54.7708181205215,NA,NA,208,NA,NA,414
"MS5",NA,18.4760745416323,18.0982840613204,NA,1,27,NA,1,184
"MS16",49.4807663549654,61.8395393940741,47.9982267593485,51,51,57,86,77,105
"MS15",1.65729755583738,NA,3.48932415099664,247,NA,50,547,NA,97
"MS24",8.09294228739168,21.0873662760151,2.80818947277029,114,107,74,237,200,187
"MS8",49.8915915397276,61.7336308513805,36.3908234633545,3,0,0,4,1,4
"MS1",18.8990921125635,18.748035743656,13.4820653358208,694,590,492,1282,1126,1162
"MS19",0.0386798039452655,0.0383251088325604,0.0551139851575896,44,13,30,221,272,266
"MS29",52.3091550743102,37.7600834943333,31.3729470104533,14,3,18,26,5,30
"MS18",33.9371002888502,83.662264481186,47.5441441659631,232,170,223,302,227,278
"MS25",12.9278311186126,NA,20.6463292957618,2,NA,0,8,NA,2
"MS6",11.9178936418466,15.5028355485813,5.42571480860751,627,293,351,880,851,922
"MS30",6.63848977346205,8.81483651944566,5.52875561140712,323,302,373,958,759,797
"MS20",27.6743952125717,30.9734340780796,49.0533130309168,175,9,325,215,21,459
"MS3",NA,0.817899782054099,0.88252313608496,NA,39,18,NA,323,244
