"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",15.1217553080374,18.734672462457,22.1133576551786,245,139,138,1884,894,1052
"MS14",21.6239640684502,22.9120527036665,17.1463465330913,412,272,249,986,706,747
"MS9",6.18603443256998,5.71792342354742,7.47826135969537,83,46,81,197,252,343
"MS10",18.4090131215697,12.3875640684456,12.5156338640866,37,14,44,153,95,130
"MS17",4.49730713800351,4.5730324881633,4.25125536078872,36,23,39,107,100,167
"MS12",19.3012642894374,12.2647645232847,16.6082683925561,220,181,201,842,713,833
"MS13",27.1362367292872,NA,10.7928860822104,1026,NA,822,4669,NA,2985
"MS26",45.6328547961293,48.3653696185874,67.5367292130835,3,15,20,50,166,249
"MS21",NA,55.6362461579762,56.4943047447487,NA,294,235,NA,426,534
"MS5",16.9905860466058,25.4200210040064,NA,42,24,NA,185,183,NA
"MS16",63.0645029523647,38.4112088713513,44.1281110930577,272,412,357,569,872,693
"MS24",15.0095361786936,13.2468372445849,4.8343249930476,48,25,31,130,90,116
"MS1",14.0848210401709,18.6100448191861,17.2848586852869,189,160,166,727,494,612
"MS19",0.0450140865812299,0.0491439684903382,0.022083231966769,46,46,23,216,232,200
"MS29",85.5781194119338,NA,29.1630785469739,9,NA,13,47,NA,75
"MS18",46.1928658323384,72.7753872146149,50.1973280274008,130,90,74,463,238,278
"MS25",9.9763317890462,13.0460975135836,15.6115268027953,37,8,8,148,36,25
"MS6",9.59749721308273,11.7596794146032,9.41342098088545,59,65,63,472,278,313
"MS30",4.51643073772066,9.18172773500923,6.38801787748129,126,38,29,358,184,176
"MS20",22.7916585875247,39.4058952388176,34.8321001284357,511,185,228,1403,768,1002
"MS3",0.483806250102099,0.78041539340709,0.838600129704484,170,61,86,613,347,619
